"gene","Gene name","log2FoldChange","padj"
"ENSG00000106733","NMRK1",3.03385225806706e-06,0.436269415197353
"ENSG00000106829","TLE4",2.9134310410903e-06,0.571207387884942
"ENSG00000119383","PTPA",-7.16718584737071e-07,0.974070360977103
"ENSG00000181090","EHMT1",-3.18301590189638e-05,0.12111119069205
"ENSG00000015171","ZMYND11",-6.40470581738093e-06,0.552419118174841
"ENSG00000134470","IL15RA",6.09056267781346e-07,NA
"ENSG00000170525","PFKFB3",2.59871215609168e-06,0.626680744627151
"ENSG00000065665","SEC61A2",-4.44491607214509e-06,0.612160536615724
"ENSG00000095794","CREM",8.73565996141442e-07,0.930364170209511
"ENSG00000107551","RASSF4",-1.58080368232108e-06,0.742634138473483
"ENSG00000170324","FRMPD2",8.00380011297253e-08,0.958170708017985
"ENSG00000138326","RPS24",-5.43014553385381e-06,0.494929227882253
"ENSG00000122367","LDB3",2.99022052293349e-06,0.116349887301267
"ENSG00000155229","MMS19",-4.45001023487804e-06,0.704083926954378
"ENSG00000107521","HPS1",-1.68665371172802e-06,0.929013074884207
"ENSG00000077150","NFKB2",7.36517541323607e-07,0.947727086463585
"ENSG00000065618","COL17A1",-7.48420775805947e-07,NA
"ENSG00000119950","MXI1",-5.02137306604224e-06,0.567916467124104
"ENSG00000165806","CASP7",2.8796258895834e-06,0.482706947594817
"ENSG00000185507","IRF7",5.35232550337118e-06,0.528597629017208
"ENSG00000121236","TRIM6",1.07512940356449e-06,0.620689235773701
"ENSG00000110171","TRIM3",-1.17834962254364e-05,0.344352331482164
"ENSG00000169519","METTL15",-6.10032396682965e-07,0.304647081502853
"ENSG00000135387","CAPRIN1",1.30585831999841e-06,0.967797934348869
"ENSG00000026508","CD44",-1.17996121857088e-05,0.650698475312381
"ENSG00000110076","NRXN2",-1.39809888106582e-06,0.705451382120261
"ENSG00000173933","RBM4",-1.06038450579765e-06,0.942527956026181
"ENSG00000162105","SHANK2",4.49734348341894e-07,0.319421099306249
"ENSG00000149428","HYOU1",-4.64413348862726e-06,0.611236177139865
"ENSG00000082805","ERC1",-2.91932977790681e-06,0.764176705079516
"ENSG00000087470","DNM1L",1.06111771268991e-05,0.967873554511453
"ENSG00000135390","ATP5MC2",-8.49842121994624e-06,0.677598209682726
"ENSG00000179912","R3HDM2",-2.57605770381196e-06,0.892397597619521
"ENSG00000180881","CAPS2",5.36750005537816e-06,0.208029298862146
"ENSG00000111785","RIC8B",6.01307747425388e-07,0.982672963052862
